Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2020-12-23,,SAC,L,122,124,47,98,.480,8,29,.276,20,24,.833,10,46,28,6,11,15,25,,45,102,.441,10,31,.323,24,31,.774,18,54,27,5,7,14,29
2,2,2020-12-25,,LAC,L,108,121,37,81,.457,11,36,.306,23,31,.742,10,32,25,7,1,13,20,,41,74,.554,19,38,.500,20,24,.833,9,38,32,9,4,18,32
3,3,2020-12-28,,HOU,W,124,111,46,87,.529,14,31,.452,18,32,.563,11,52,31,8,7,14,18,,39,86,.453,16,39,.410,17,23,.739,5,38,25,8,3,15,25
4,4,2020-12-29,@,SAC,L,115,125,44,81,.543,11,28,.393,16,20,.800,7,39,27,7,5,19,18,,46,94,.489,16,33,.485,17,22,.773,12,37,33,9,2,10,18
5,5,2021-01-01,,PHO,L,103,106,39,86,.453,12,29,.414,13,16,.813,8,38,28,7,1,11,25,,37,76,.487,13,35,.371,19,21,.905,8,37,24,1,4,17,20
6,6,2021-01-03,@,MIN,W,124,109,45,92,.489,19,45,.422,15,21,.714,13,43,34,6,4,15,11,,44,85,.518,10,31,.323,11,16,.688,9,36,30,11,6,14,17
7,7,2021-01-05,,MIN,W,123,116,41,79,.519,8,25,.320,33,45,.733,10,42,22,9,2,14,27,,42,91,.462,11,34,.324,21,27,.778,10,42,24,8,4,14,31
8,8,2021-01-07,,DAL,L,117,124,43,97,.443,15,44,.341,16,21,.762,9,47,25,8,1,13,27,,42,87,.483,16,40,.400,24,31,.774,7,44,27,12,7,13,21
9,9,2021-01-09,@,PHI,W,115,103,45,90,.500,12,33,.364,13,15,.867,15,45,28,11,7,17,12,,43,103,.417,11,35,.314,6,10,.600,20,48,23,8,4,16,19
10,10,2021-01-10,@,NYK,W,114,89,45,84,.536,15,35,.429,9,12,.750,8,43,23,11,4,12,25,,32,74,.432,6,21,.286,19,25,.760,8,36,19,4,1,16,15
