Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2020-12-22,,LAC,L,109,116,38,81,.469,9,29,.310,24,31,.774,8,45,22,4,2,19,20,,44,93,.473,14,40,.350,14,19,.737,11,40,22,10,3,16,29
2,2,2020-12-25,,DAL,W,138,115,51,91,.560,19,39,.487,17,24,.708,17,53,33,9,4,16,23,,41,83,.494,13,32,.406,20,26,.769,3,27,20,13,3,9,22
3,3,2020-12-27,,MIN,W,127,91,50,90,.556,13,35,.371,14,18,.778,5,46,32,6,14,17,19,,38,103,.369,6,35,.171,9,14,.643,17,48,24,11,6,17,24
4,4,2020-12-28,,POR,L,107,115,41,87,.471,10,27,.370,15,18,.833,6,41,20,6,5,14,14,,43,92,.467,16,46,.348,13,15,.867,7,45,27,9,6,9,16
5,5,2020-12-30,@,SAS,W,121,107,46,82,.561,14,26,.538,15,20,.750,7,47,25,4,3,17,24,,40,87,.460,10,24,.417,17,23,.739,7,39,25,8,4,10,18
6,6,2021-01-01,@,SAS,W,109,103,41,101,.406,14,33,.424,13,16,.813,16,58,27,8,7,13,20,,36,85,.424,13,34,.382,18,26,.692,8,45,23,3,8,13,20
7,7,2021-01-03,@,MEM,W,108,94,41,89,.461,12,35,.343,14,19,.737,12,49,24,9,5,10,15,,39,95,.411,9,33,.273,7,8,.875,14,50,23,6,3,11,18
8,8,2021-01-05,@,MEM,W,94,92,38,87,.437,9,31,.290,9,11,.818,9,52,24,7,8,17,14,,36,87,.414,10,26,.385,10,13,.769,5,38,24,14,4,13,14
9,9,2021-01-07,,SAS,L,109,118,43,86,.500,10,30,.333,13,21,.619,9,48,21,2,4,13,20,,43,92,.467,16,35,.457,16,17,.941,6,40,28,4,3,6,15
10,10,2021-01-08,,CHI,W,117,115,41,81,.506,12,29,.414,23,27,.852,10,42,21,3,8,15,15,,46,91,.505,10,26,.385,13,14,.929,9,41,26,10,3,12,23
